pool,project,symbol,chain,tvlUsd,apy,apyBase,apyReward,apyMean30d,sigma,mu,stablecoin,ilRisk,exposure,outlier,prediction_class,prediction_prob_pct,poolMeta
85247b13-8180-44e7-b38c-4d324cc68a92,compound-v3,USDT,Arbitrum,9182171,1.93397,1.93397,0.0,2.05446,0.12513,4.15077,True,no,single,False,Stable/Up,84.0,
2f7db438-6ecd-49a8-ab86-667081d5e5ef,concrete,THUSD-USDC-ARB,Arbitrum,8694952,0.0,0.0,,0.0,0.0,0.0,False,yes,multi,False,,,thUSD Genesis Vault - USDC Arbitrum
3a6cc030-738d-4e19-8a40-e63e9c4d5a6f,aave-v3,USD₮0,Arbitrum,8647638,2.72527,2.72527,,2.68642,0.17072,4.51965,False,no,single,False,Stable/Up,84.0,
af3cd3a9-a9b8-483e-82c6-bf4fceb66584,uniswap-v3,WBTC-USDT,Arbitrum,8401239,32.33599,32.33599,,24.78872,1.00837,39.64336,False,yes,multi,True,Down,59.0,0.05%
49f18f1e-f9c4-435a-9875-8a5314660a69,pendle,SUSDAI,Arbitrum,8203220,10.23629,10.23629,,9.72149,0.05415,8.35501,True,no,single,False,Stable/Up,51.0,For buying PT-sUSDai-18JUN2026
a157419e-f37a-4711-8d9b-d8139ec4fe91,pendle,SUSDAI,Arbitrum,8203220,8.56357,8.43803,0.12553,7.99023,0.04562,7.92561,True,no,single,False,Stable/Up,63.0,For LP | Maturity 18JUN2026
4a433427-2a7e-4193-bf83-e15c996915e8,morpho-blue,BITGETUSDC,Arbitrum,7940593,3.67486,3.67486,0.0,3.70106,0.07044,3.9119,True,no,single,False,Stable/Up,63.0,
eec88a7a-789c-4953-b33c-56d5fb3db8cf,fluid-lending,WSTETH,Arbitrum,7888138,0.01,0.01,,0.00935,0.0012,0.0155,False,no,single,False,Stable/Up,78.0,
655edf24-3235-4fe3-a06a-f3bf8b259bc5,zerobase-cedefi,USDT,Arbitrum,7617106,9.0,7.0,2.0,9.0,0.0,9.0,True,no,single,False,Down,55.00000000000001,
e8f3da05-4607-4911-8df1-e91f95b52637,morpho-blue,WSTETH,Arbitrum,7380320,0.0,,,0.0,0.0,0.0,False,no,single,False,,,
67e1af02-d186-47bd-bd0f-584f1d115548,uniswap-v3,RAIN-WETH,Arbitrum,7342879,1.43914,1.43914,,2.00085,0.64601,10.42606,False,yes,multi,False,Stable/Up,83.0,0.01%
e2e8fb7a-15f7-4e84-8551-5604cd4015be,morpho-blue,PT-USDAI-18JUN2026,Arbitrum,7238424,0.0,,,0.0,0.0,0.0,False,yes,multi,False,,,
7127db96-afba-4089-8c9d-daa93c116856,uniswap-v3,WBTC-USDC,Arbitrum,7102991,39.60281,39.60281,,23.22599,0.23556,0.74604,False,yes,multi,False,Down,89.0,0.05%
2390b74a-8e4d-4275-bb1e-cc8b9cb88174,camelot-v3,USDY-USDC,Arbitrum,6979646,1e-05,1e-05,,0.00014,0.00602,0.02567,True,no,multi,False,Stable/Up,68.0,
49bdce2c-65d0-4bb7-bdc0-dc0d642317e6,uniswap-v3,WETH-USDT,Arbitrum,6241343,18.51695,18.51695,,17.33646,1.19136,47.62131,False,yes,multi,True,Stable/Up,84.0,0.05%
05b39877-c068-450b-bd0c-cc6e47886aa7,compound-v3,WSTETH,Arbitrum,6120353,0.0,,,0.0,0.0,0.0,False,no,single,False,,,USDC-pool
ffb4e407-6507-4615-b776-a0d99cfc1bbb,gmx-v2-perps,WBTC.B-WBTC.B,Arbitrum,5913530,9.03331,9.03331,,4.38758,0.16964,4.73961,False,no,multi,False,Down,71.0,
a980d165-d64a-45d8-b9c9-de2d628f5f23,fluid-lending,ETH,Arbitrum,5910914,0.38,0.38,,0.94828,0.04347,1.47324,False,no,single,False,Stable/Up,63.0,
53fd68b5-0f79-4b3b-9171-577e562beee4,uniswap-v3,WBTC-EVA,Arbitrum,5812796,10.42962,10.42962,,5.69518,0.14135,0.60548,False,yes,multi,False,Down,82.0,1%
600291d6-c8f3-47b0-81a0-98a64d123f3e,fluid-dex,USDC-USD₮0,Arbitrum,5766506,0.94818,0.94818,,0.49043,0.02914,0.64744,False,yes,multi,False,Down,54.0,
1f7d105b-9f30-425e-99af-59abfc8654c6,curve-dex,LUAUSD-2CRV,Arbitrum,5622166,0.01,0.01,0.0,0.02024,0.0292,0.25562,False,yes,multi,False,Stable/Up,70.0,
1767cdec-8dad-4b8c-a61c-fa10ab4d3f92,ondo-yield-assets,USDY,Arbitrum,5604050,3.55,3.55,,3.55,0.00222,3.57142,True,no,single,False,Stable/Up,72.0,US Dollar Yield
94594b8f-fd0c-48c3-b760-87c8e56b64fa,uniswap-v3,WETH-USDC,Arbitrum,5596339,26.59373,26.59373,,23.89265,1.31489,42.76017,False,yes,multi,True,Stable/Up,69.0,0.3%
c48595c8-49bc-4853-80e4-f18c470bbfc3,gains-network,USDC,Arbitrum,5502370,20.24297,20.24297,,8.60701,0.22449,10.32785,True,no,single,False,Down,81.0,
03f97f6b-3e17-4ccd-8687-0b3f736441b3,compound-v3,WSTETH,Arbitrum,5264808,0.0,,,0.0,0.0,0.0,False,no,single,False,,,USDT-pool
